{'用户id': 'dee92e37b51a4832bf89ac3826902f87', '用户设备': '荣耀X20SE', '评论时间': '9/23/2022, 02:09', '评论内容': '可以同城买药吗？同城买药寄送的那种。'}
{'用户id': '45ebf3eb50b04948a965e1cb3912bfff', '用户设备': 'nova5-Pro', '评论时间': '9/15/2022, 18:27', '评论内容': '打不开怎么回事！！！！'}
{'用户id': '77642ccab6a64a9f8653b8efd69091da', '用户设备': 'Mate40Pro', '评论时间': '9/6/2022, 19:55', '评论内容': '什么意思？更新完鸿蒙3.0闪退？'}
{'用户id': '69a8cb28885a4a3f93981972d04388d3', '用户设备': '荣耀20青春版', '评论时间': '8/24/2022, 00:41', '评论内容': '快递一直在物流公司没动过'}
{'用户id': 'c5a40d3561dc41d1842f58dca55570f0', '用户设备': 'Mate20X', '评论时间': '8/10/2022, 18:47', '评论内容': '下载了三四次了都打不开真恶心'}
{'用户id': 'b508dbf798164944b8a58b7bcce3c325', '用户设备': 'Mate30Pro-5G版', '评论时间': '8/7/2022, 07:04', '评论内容': 'app地址选择有问题，接口没做好，开发的锅'}
{'用户id': 'b96b9887b5324f7ba1b8598336f15686', '用户设备': '荣耀9X', '评论时间': '7/26/2022, 16:13', '评论内容': '非常不错，药品比较全，性价比高'}
{'用户id': 'b84d476689f347059f0364e3152fbfd7', '用户设备': '荣耀V30', '评论时间': '7/22/2022, 17:19', '评论内容': '药品挺全的，常用的药都能买到，配送速度也很快'}
{'用户id': '666fd412d0a944fcbb6eac2fc1953717', '用户设备': 'Mate40E', '评论时间': '7/22/2022, 11:59', '评论内容': '买药实惠又安全，性价比高，很好用'}
{'用户id': '5d9c78046d7440efb84f25b55d623902', '用户设备': '荣耀Magic4', '评论时间': '6/24/2022, 09:41', '评论内容': '还不错，比在实体店买要方便很多'}
{'用户id': 'f5bd3eaa06384be19b56f38e77d4e109', '用户设备': '荣耀V30-Pro', '评论时间': '6/22/2022, 16:00', '评论内容': '打不开，一直卡在进去页面'}
{'用户id': '11b9a7d5b7de426385bd73dd13da4834', '用户设备': 'Mate40', '评论时间': '6/21/2022, 21:03', '评论内容': '太恶心了，耽误人，没法开的药网络问诊医生乱开，开了要自己去偏僻饿点领取，去到又领不了。无良软件。'}
{'用户id': 'ea73f24f1e1c4397b21e400cc0a00d37', '用户设备': '荣耀10', '评论时间': '6/19/2022, 09:21', '评论内容': '反应迟钝的一款软件 一整就黑屏 太弱了 速度慢极了！'}
{'用户id': '3a0d6da1ae8848d6af66babbfa0e71db', '用户设备': 'Mate30-5G版', '评论时间': '6/17/2022, 10:30', '评论内容': '赶紧下架吧，根本进不去'}
{'用户id': 'e1803e828884492bbcbb0c5183658ea6', '用户设备': '荣耀V30-Pro', '评论时间': '5/19/2022, 09:37', '评论内容': '无语了，打开app卡在广告界面一动不动，试了十几次都一个样，有暖用'}
{'用户id': 'c501088ba62c4e999270d2605c80ad23', '用户设备': 'nova5i', '评论时间': '5/14/2022, 07:37', '评论内容': '无语了，打开好几次每次都停在广告页面上进不去主页'}
{'用户id': '5efae17b5dd44992a19bcaad93a84a49', '用户设备': 'Mate30Pro-5G版', '评论时间': '5/1/2022, 21:28', '评论内容': '这里面的药师有毛病的，牛头不对马嘴的问答'}
{'用户id': 'b3de1ee767c34b16a49db2cc14e04777', '用户设备': '华为畅享20-5G', '评论时间': '4/10/2022, 10:04', '评论内容': '买个药，外卖员因为疫情进不了商家店铺，商家不愿意下楼送，我打了56个电话也没人接，客服回答什么东西，驴头不对马嘴！专人工等了几十分钟也没有人，太差了'}
{'用户id': '318640fdff164eb4b10ef8a84fa346ea', '用户设备': '荣耀V20', '评论时间': '4/7/2022, 16:01', '评论内容': '买药下单，很普通的药，就是迟迟不发货，联系客服说帮我反馈，可仅仅就是反馈，依然不发货。订单页面无退货按钮，必需排队半小时找人工客服。退货只退药款，捆绑销售的礼单不能退。算了，与差评一起送给你们了。'}
{'用户id': '51a205eda324450a9bc5b2c3dd071f65', '用户设备': 'Mate20-Pro', '评论时间': '3/31/2022, 16:56', '评论内容': '买药很方便，买之前不确定还可以在线问诊，药品又保真，上班族没啥时间特意抽时间买药，方便了不少，也可以给家里人买药寄回去，药店有时还人多，不安全，直接送到家很省心'}
{'用户id': 'cbd94a98091843268ba0289577c7b597', '用户设备': 'P30', '评论时间': '3/30/2022, 15:41', '评论内容': '东西还是比较全的，一般常用的药都能买到，尤其夜间也给配送，确实很方便'}
{'用户id': 'b22ed0e136f94093844cbd17a02f66d0', '用户设备': 'nova7-5G', '评论时间': '3/22/2022, 16:03', '评论内容': '现在叮当快药都成销售性质的一个APP了。一两句症状都没说完情况，就给你推荐药品来了，服气！以前觉得是服务性APP，想着购药也方便快捷还能咨询症状，就挺满意的。现在就成快销APP了。'}
{'用户id': '620a5347354144d6a403d20f873bbff4', '用户设备': 'Mate20X', '评论时间': '3/15/2022, 22:26', '评论内容': '靠，广东居然没有'}
{'用户id': 'cb17d38bb703479da40622eb072e20fa', '用户设备': 'Mate30Pro-5G版', '评论时间': '3/10/2022, 04:50', '评论内容': '用了很多年了，药品全，配送快，凌晨四点都能那么迅速及时！！'}
{'用户id': '36ee101514e5458d9f0cd0d5011fd458', '用户设备': '荣耀畅玩7', '评论时间': '2/26/2022, 20:56', '评论内容': '程序慢，界面反应迟钝'}
{'用户id': 'dee92e37b51a4832bf89ac3826902f87', '用户设备': '荣耀X20SE', '评论时间': '9/23/2022, 02:09', '评论内容': '可以同城买药吗？同城买药寄送的那种。'}
{'用户id': '45ebf3eb50b04948a965e1cb3912bfff', '用户设备': 'nova5-Pro', '评论时间': '9/15/2022, 18:27', '评论内容': '打不开怎么回事！！！！'}
{'用户id': '77642ccab6a64a9f8653b8efd69091da', '用户设备': 'Mate40Pro', '评论时间': '9/6/2022, 19:55', '评论内容': '什么意思？更新完鸿蒙3.0闪退？'}
{'用户id': '69a8cb28885a4a3f93981972d04388d3', '用户设备': '荣耀20青春版', '评论时间': '8/24/2022, 00:41', '评论内容': '快递一直在物流公司没动过'}
{'用户id': 'c5a40d3561dc41d1842f58dca55570f0', '用户设备': 'Mate20X', '评论时间': '8/10/2022, 18:47', '评论内容': '下载了三四次了都打不开真恶心'}
{'用户id': 'b508dbf798164944b8a58b7bcce3c325', '用户设备': 'Mate30Pro-5G版', '评论时间': '8/7/2022, 07:04', '评论内容': 'app地址选择有问题，接口没做好，开发的锅'}
{'用户id': 'b96b9887b5324f7ba1b8598336f15686', '用户设备': '荣耀9X', '评论时间': '7/26/2022, 16:13', '评论内容': '非常不错，药品比较全，性价比高'}
{'用户id': 'b84d476689f347059f0364e3152fbfd7', '用户设备': '荣耀V30', '评论时间': '7/22/2022, 17:19', '评论内容': '药品挺全的，常用的药都能买到，配送速度也很快'}
{'用户id': '666fd412d0a944fcbb6eac2fc1953717', '用户设备': 'Mate40E', '评论时间': '7/22/2022, 11:59', '评论内容': '买药实惠又安全，性价比高，很好用'}
{'用户id': '5d9c78046d7440efb84f25b55d623902', '用户设备': '荣耀Magic4', '评论时间': '6/24/2022, 09:41', '评论内容': '还不错，比在实体店买要方便很多'}
{'用户id': 'f5bd3eaa06384be19b56f38e77d4e109', '用户设备': '荣耀V30-Pro', '评论时间': '6/22/2022, 16:00', '评论内容': '打不开，一直卡在进去页面'}
{'用户id': '11b9a7d5b7de426385bd73dd13da4834', '用户设备': 'Mate40', '评论时间': '6/21/2022, 21:03', '评论内容': '太恶心了，耽误人，没法开的药网络问诊医生乱开，开了要自己去偏僻饿点领取，去到又领不了。无良软件。'}
{'用户id': 'ea73f24f1e1c4397b21e400cc0a00d37', '用户设备': '荣耀10', '评论时间': '6/19/2022, 09:21', '评论内容': '反应迟钝的一款软件 一整就黑屏 太弱了 速度慢极了！'}
{'用户id': '3a0d6da1ae8848d6af66babbfa0e71db', '用户设备': 'Mate30-5G版', '评论时间': '6/17/2022, 10:30', '评论内容': '赶紧下架吧，根本进不去'}
{'用户id': 'e1803e828884492bbcbb0c5183658ea6', '用户设备': '荣耀V30-Pro', '评论时间': '5/19/2022, 09:37', '评论内容': '无语了，打开app卡在广告界面一动不动，试了十几次都一个样，有暖用'}
{'用户id': 'c501088ba62c4e999270d2605c80ad23', '用户设备': 'nova5i', '评论时间': '5/14/2022, 07:37', '评论内容': '无语了，打开好几次每次都停在广告页面上进不去主页'}
{'用户id': '5efae17b5dd44992a19bcaad93a84a49', '用户设备': 'Mate30Pro-5G版', '评论时间': '5/1/2022, 21:28', '评论内容': '这里面的药师有毛病的，牛头不对马嘴的问答'}
{'用户id': 'b3de1ee767c34b16a49db2cc14e04777', '用户设备': '华为畅享20-5G', '评论时间': '4/10/2022, 10:04', '评论内容': '买个药，外卖员因为疫情进不了商家店铺，商家不愿意下楼送，我打了56个电话也没人接，客服回答什么东西，驴头不对马嘴！专人工等了几十分钟也没有人，太差了'}
{'用户id': '318640fdff164eb4b10ef8a84fa346ea', '用户设备': '荣耀V20', '评论时间': '4/7/2022, 16:01', '评论内容': '买药下单，很普通的药，就是迟迟不发货，联系客服说帮我反馈，可仅仅就是反馈，依然不发货。订单页面无退货按钮，必需排队半小时找人工客服。退货只退药款，捆绑销售的礼单不能退。算了，与差评一起送给你们了。'}
